"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YLR413W",331.314599691369,2.17298127721825,0.092321665976512,23.537067428691,1.703091117464e-122,1.3864506241776e-120
"YOL016C",554.253990639175,1.68815405370202,0.0717859109936781,23.5165094422314,2.76482954343647e-122,2.22155849158979e-120
"YDL022W",580.265056211656,1.63128955924686,0.0694134980618837,23.501042373524,3.97985905402057e-122,3.15684461118272e-120
"YGR061C",680.226289783988,1.49884871900825,0.0650377422874235,23.0458294875049,1.61959684579076e-117,1.23709205986512e-115
"YKL182W",1018.32336605366,1.16381942527525,0.0506639494996526,22.971352150176,9.01617928242467e-117,6.8028172219953e-115
"YJL158C",1089.47372548237,1.10117836937002,0.0479788515121838,22.9513282344906,1.42915062916756e-116,1.0653198726096e-114
"YDL229W",650.389043343679,1.45157622314878,0.0635380576262946,22.845775860609,1.60975805737032e-115,1.18566346439883e-113
"YBR296C",174.269053401094,3.95516462008076,0.174597602538188,22.6530293806049,1.30241625717112e-113,9.48005809778558e-112
"YER056C",373.420961528916,1.8837590209649,0.0845387794130553,22.2827799743935,5.42820785483145e-110,3.90515372067933e-108
"YLR180W",687.809160842223,1.36230780058731,0.0616752483897577,22.0884039570977,4.08577745184838e-108,2.87258012438476e-106
"YPL019C",283.594725098606,2.18132470099649,0.100328141268579,21.7419028541261,8.24104997096603e-105,5.60300837036998e-103
"YAL003W",1116.72980771171,1.03519351969617,0.0476626616806203,21.7191714267414,1.35195334450911e-104,9.09188624182377e-103
"YLR194C",614.746807120227,1.41482147341603,0.0654344501854969,21.6219662487455,1.11619275205141e-103,7.42568231929254e-102
"YNL160W",207.176067724472,2.76125534126571,0.128932339500881,21.4163130208836,9.41529027472671e-102,6.13183167681412e-100
"YHR183W",996.376167118011,1.05295156059493,0.0511098934958576,20.6017169783434,2.64883352133186e-94,1.68951886561652e-92
"YLR300W",685.308838249995,1.29999553564915,0.0632172478611575,20.5639375270543,5.77509208701543e-94,3.64596885126168e-92
"YDR055W",255.957187478887,2.15310349077295,0.104904771223504,20.5243619109151,1.3046487401632e-93,8.15339571251488e-92
"YHL021C",345.29413749746,1.79082901984455,0.0875442371427158,20.4562753448307,5.28227300239175e-93,3.26814230657978e-91
"YER072W",428.684082238975,1.55254906942562,0.077749745726461,19.9685420822827,1.03428451210271e-88,6.2736453689995e-87
"YDR019C",147.099528346391,3.1847177166923,0.159781102542512,19.9317545442833,2.15860365392164e-88,1.28416161603973e-86
"YMR300C",229.547621746242,2.20567218608868,0.111057813668346,19.8605763361731,8.92801956794963e-88,5.26072924446708e-86
"YJL012C",381.403742912629,1.65903007162531,0.0859343051280542,19.305794922681,4.80108531693798e-83,2.77610419213974e-81
"YDL039C",153.990590363521,2.7616114783947,0.144661317590489,19.0901861284877,3.04681926800153e-81,1.72941934047022e-79
"YJR148W",312.932282220172,1.73970917959021,0.0913931229403285,19.035449535148,8.67449996139151e-81,4.83505687037201e-79
"YGR008C",479.115302762167,1.40742074840115,0.0744948876043109,18.8928501493532,1.3060036463356e-79,7.15065890254722e-78
"YER055C",500.059458919001,1.42097394893107,0.0756851910945351,18.7747950210787,1.21415636683361e-78,6.58946091368383e-77
"YBR092C",147.112847592667,2.77918695293915,0.14901324766246,18.6506031949218,1.24860644222475e-77,6.65959315348668e-76
"YHL047C",254.06546057477,1.98648515311633,0.107361720122636,18.5027321735088,1.96267515492175e-76,1.03786933192315e-74
"YOR230W",618.026312847029,1.1826674501595,0.0646594687527623,18.2907078108181,9.81325747260584e-75,5.14530711720444e-73
"YDR524W-C",358.68402195737,-1.83479732638098,0.100340767974499,-18.2856615852021,1.07649435095853e-74,5.59686600788269e-73
"YIL121W",131.899969791417,2.99684624724138,0.164711914689076,18.1944715590155,5.70870253895962e-74,2.94331188404526e-72
"YOR273C",271.292357061115,1.74573031430009,0.0975302810590875,17.8993672051705,1.19269384365854e-71,5.9993470005816e-70
"YKL062W",188.883444994785,2.13482143465054,0.12076113773642,17.6780500305498,6.1900322539665e-70,3.03950234565799e-68
"YGR159C",511.876816083201,1.25400891463197,0.0712106431628357,17.6098523891219,2.0698410942236e-69,1.00047709765324e-67
"YDR406W",224.759529271923,1.91554346480467,0.108913580579864,17.587737494316,3.05847359026078e-69,1.46688186844523e-67
"YHR143W",590.618198070326,1.16591504166947,0.0665058009512214,17.531027744852,8.3054600651865e-69,3.9527601094853e-67
"YDL182W",265.403270938479,1.68466475406314,0.0994063911842789,16.9472478981771,2.01675845984821e-64,9.31170491871709e-63
"YCR005C",254.730613133838,-2.10920713540415,0.126222368249764,-16.7102484658705,1.10374679618415e-62,4.94846480289229e-61
"YAL044C",217.926102897221,1.89227038429553,0.114411250771667,16.5391984750868,1.91554104135094e-61,8.52622476463186e-60
"YDR399W",207.888092908205,1.88259559160187,0.114947441686243,16.3778816125421,2.75160802457688e-60,1.17408267917636e-58
"YLR056W",519.441560739488,1.14578102661988,0.0701537474026789,16.3324279748472,5.80282878667868e-60,2.44231984375381e-58
"YDR044W",265.405843669993,1.59771370399823,0.0980960836574649,16.2872323178281,1.21609454807524e-59,5.08376822225777e-58
"YFR055W",168.713062159933,2.09648567862346,0.128858611662729,16.2696590594251,1.62057562424573e-59,6.7291955618848e-58
"YER073W",596.955356747692,1.16620003524785,0.0716958435684214,16.2659364504849,1.72213912342229e-59,7.10324983774246e-58
"YBR218C",557.148679587258,1.08772634337584,0.0670978068105207,16.2110565915738,4.2126337657348e-59,1.7260639144769e-57
"YNL217W",214.123738130976,1.8057820176834,0.112470854640758,16.0555552231841,5.22690866617209e-58,2.12755815247413e-56
"YPR036W-A",741.797333332995,-1.01592863036974,0.0633747943174678,-16.0304840640678,7.82706779177179e-58,3.16510251161386e-56
"YCR021C",109.792059742563,2.72044138722476,0.169789813135505,16.0224063916817,8.91329962480976e-58,3.58094706355182e-56
"YEL071W",542.417619671286,-1.19228021856514,0.0746606211228019,-15.9693316320537,2.09013550809492e-57,8.28953101832262e-56
"YPL163C",212.183503119656,1.72162294608815,0.109255101952661,15.7578265483118,6.06843320647672e-56,2.34658726552947e-54
"YOL143C",455.029392139522,1.17323196467845,0.0748240146031355,15.6798852734812,2.07628895950202e-55,7.97888185865777e-54
"YER053C",240.535685843269,1.60919104006281,0.102715858269602,15.6664323033656,2.56583555294435e-55,9.79927442349796e-54
"YMR251W-A",527.500766794332,1.08613053143594,0.0697084753749924,15.5810398318594,9.79483589042374e-55,3.71783126711974e-53
"YBR093C",153.097910743054,2.05574936429036,0.132130197953252,15.5585127104531,1.39298314641653e-54,5.2551138578531e-53
"YNL327W",400.476722035695,1.24509623445174,0.0808467287241737,15.4007002398286,1.61906532472319e-53,6.071004341856e-52
"YER150W",164.097484483258,1.96399603286876,0.128232836006952,15.3158589798504,5.9915077476721e-53,2.21972804999086e-51
"YMR189W",131.979223976571,2.19929408009338,0.143903191211577,15.2831501621101,9.90353545969557e-53,3.64721273149622e-51
