YDL248W	8	7	11	12	12	20
YDL247W-A	0	0	0	0	0	0
YDL247W	0	0	0	1	2	0
YDL246C	0	0	1	0	0	0
YDL245C	0	4	1	0	0	0
YDL244W	0	1	1	16	10	14
YDL243C	28	37	29	68	57	53
YDL242W	4	2	4	7	8	5
YDL241W	40	39	36	22	21	23
YDL240C-A	0	0	1	0	0	0
YDL240W	24	21	30	112	107	99
YDL239C	23	12	15	38	41	37
YDL238C	55	47	39	64	61	57
YDL237W	72	62	57	151	167	169
YDL236W	199	176	155	308	303	304
YDL235C	26	44	36	101	100	103
YDL234C	195	153	180	254	210	220
YDL233W	47	45	46	85	100	101
YDL232W	33	28	24	51	74	58
YDL231C	68	70	77	163	183	225
YDL230W	58	54	76	136	153	148
YDL229W	633	625	640	522	563	516
YDL228C	1	4	1	11	10	9
YDL227C	14	15	13	9	12	11
YDL226C	131	109	120	243	236	240
YDL225W	60	80	59	179	182	178
YDL224C	91	70	89	198	187	199
YDL223C	54	47	39	125	124	108
YDL222C	6	10	8	27	14	21
YDL221W	8	4	4	11	8	17
YDL220C	20	33	32	42	39	47
YDL219W	7	16	13	35	37	47
YDL218W	10	9	11	10	13	28
YDL217C	33	33	37	87	86	88
YDL216C	31	29	25	62	71	88
YDL215C	105	112	119	295	310	303
YDL214C	6	8	6	31	39	46
YDL213C	83	93	83	246	231	240
YDL212W	146	143	175	399	352	372
YDL211C	13	19	16	57	52	50
tG(GCC)D1	0	0	0	0	0	0
YDL210W	5	3	5	21	37	24
YDL209C	8	19	17	56	52	51
YDL208W	203	193	183	281	289	304
YDL207W	57	57	64	208	194	192
YDL206W	26	19	17	103	108	111
YDL205C	84	78	73	133	117	120
YDL204W	62	54	67	73	73	85
YDL203C	30	42	35	80	91	72
YDL202W	44	40	39	81	70	101
YDL201W	37	40	31	70	53	63
YDL200C	10	12	12	47	42	46
YDL199C	22	21	11	73	70	61
YDL198C	139	139	137	198	166	179
YDL197C	53	47	50	191	166	154
YDL196W	2	0	1	3	3	4
YDL195W	357	380	355	691	645	713
YDL194W	61	61	68	141	127	136
YDL193W	42	47	49	132	114	129
YDL192W	491	527	536	1000	1128	1043
YDL191W	314	353	324	525	515	507
YDL190C	111	109	112	208	212	206
